codprod,codmarca,codepto,codsec
12095,1,2,10043
12462,1,1,10040
12463,1,1,10041
12464,1,1,10041
12572,9,2,10045
12059,1,1,10040
12060,1,1,10041
12566,32,10006,10013
12564,17,3,10046
12565,32,10006,10011
12593,11,1,10041
11975,2,1,10040
12481,9,2,10045
12465,1,1,10040
11974,2,2,10043
12295,2,1,10041
11977,2,1,10041
13959,12,3,10046
12560,1,1,10040
12561,1,1,10041
11963,2,1,10040
12086,1,1,10041
12087,1,1,10040
12088,1,1,10041
12089,1,1,10041
12082,1,1,10040
12083,1,1,10041
12084,3,1,10040
12085,1,1,10041
12872,19,2,10043
12460,1,1,10040
12092,1,1,10040
12093,1,1,10041
12094,3,1,10040
12216,1,1,10040
12217,1,1,10040
12218,1,1,10040
12219,3,1,10041
12268,1,1,10040
12269,1,1,10040
12270,1,1,10041
12271,3,1,10041
12272,3,1,10042
11964,11,1,10040
11965,11,1,10040
11966,11,1,10040
11968,11,1,10042
11969,11,1,10041
12097,2,1,10040
12322,3,1,10040
12323,3,1,10041
12352,1,1,10041
12090,1,1,10041
12695,1,1,10040
12701,1,1,10040
12702,1,1,10040
12703,1,1,10041
12704,2,1,10041
12705,1,1,10040
12706,1,1,10040
12715,10,2,10045
12632,1,1,10040
12639,1,2,10043
12640,1,2,10043
12641,9,2,10045
12642,1,1,10041
12645,39,10002,10018
12651,2,1,10040
12652,2,1,10040
12653,2,1,10041
12671,1,2,10043
12672,1,2,10043
12673,3,1,10042
12674,1,2,10043
12684,39,10002,10018
12687,1,1,10040
12688,1,1,10040
12689,1,1,10040
12722,1,1,10040
12723,1,1,10041
12801,1,1,10040
912462,1,1,10040
912523,1,1,10040
12805,3,1,10041
12802,2,1,10040
12803,2,1,10040
12804,2,2,10043
12883,1,1,10040
12893,27,1,10040
12719,18,10011,10047
12720,5,10006,10011
12721,34,10006,10013
12594,11,1,10040
12595,11,1,10040
12596,11,1,10040
12599,29,2,10045
12631,1,1,10040
912816,1,1,10040
12840,1,1,10040
12858,1,1,10040
12871,36,10006,10013
12875,3,1,10040
12876,3,1,10041
12877,3,1,10040
12879,1,1,10040
12860,1,1,10041
12881,3,1,10040
13289,39,10002,10031
13290,39,10002,10033
13291,39,10002,10033
12859,7,2,10043
12862,1,1,10040
12863,1,1,10041
12864,9,2,10045
12215,1,1,10040
12882,9,2,10045
12841,3,1,10041
12842,1,1,10040
12846,1,1,10041
12848,1,1,10040
12849,1,1,10040
12850,1,1,10040
32,39,10004,10015
13967,45,10010,10028
12847,9,2,10043
12865,1,1,10040
12867,13,1,10041
12868,42,2,10043
12884,1,1,10040
12843,1,1,10040
12844,3,1,10040
12845,1,1,10040
12851,1,1,10040
12852,1,1,10041
12853,3,1,10040
12854,3,1,10041
12885,3,1,10041
12886,1,1,10040
12855,3,1,10041
12856,3,1,10040
12857,3,1,10041
12861,1,1,10040
12866,9,2,10045
12869,5,10006,10011
12870,1,1,10040
13120,39,10002,10032
13121,39,10002,10031
13122,39,10002,10033
13968,45,10010,10028
13132,39,10010,10028
13133,39,10010,10028
912829,1,1,10040
13149,1,1,10041
913149,1,1,10041
913150,1,1,10041
97765,3,1,10041
13150,1,1,10041
13151,1,1,10041
913151,1,1,10041
13167,39,10002,10034
13944,39,10002,10033
13952,51,10002,10034
13292,39,10002,10033
13953,39,10002,10033
13954,39,10002,10018
13001,39,10002,10031
13293,39,10002,10033
13294,39,10002,10033
13295,39,10002,10033
13123,84,10006,10013
13125,84,10006,10013
13288,39,10002,10031
13955,39,10002,10018
13161,39,10002,10031
13169,39,10002,10034
13194,39,10002,10031
14281,18,10011,10047
12887,2,1,10040
13195,39,10002,10031
13196,39,10002,10031
13197,39,10002,10031
12888,2,1,10041
12898,27,1,10041
12899,27,1,10041
12900,27,1,10041
940390,39,10008,10026
45,39,10008,10026
13093,39,10002,10031
13136,39,10002,10033
13137,39,10002,10033
13138,39,10002,10033
13139,39,10002,10033
13140,39,10002,10033
13152,26,2,10043
13191,39,10002,10031
13192,39,10002,10031
13193,39,10002,10031
13100,28,2,10045
13101,28,2,10045
13200,28,2,10045
13201,28,2,10045
13302,19,2,10045
912818,1,1,10040
13931,39,10002,10033
13932,39,10002,10033
12941,1,1,10040
13000,1,1,10040
13089,1,1,10040
13920,39,10002,10018
14081,7,2,10045
13300,28,2,10045
13301,28,2,10045
13400,28,2,10045
13401,28,2,10045
12942,1,1,10040
12945,1,1,10040
912819,1,1,10040
912850,1,1,10040
14085,69,3,10046
13908,39,10002,10032
13909,13,2,10043
13910,60,2,10043
13911,13,2,10043
13912,13,2,10043
13913,13,2,10043
13978,39,10002,10032
13583,84,10006,10013
13663,10,3,10046
13664,12,3,10046
13665,10,3,10046
13666,10,3,10046
13667,12,10011,10047
13668,43,10010,10028
14093,39,10010,10028
14173,14,1,10040
13644,39,10002,10033
13645,39,10002,10033
13646,39,10002,10033
13657,39,10002,10018
13882,39,10010,10028
14421,87,1,10040
14422,39,10002,10031
13656,51,10002,10034
13771,1,1,10040
13842,39,10002,10033
13843,39,10002,10036
14199,14,2,10043
14456,13,1,10040
13560,39,10002,10033
912086,1,1,10041
13759,42,2,10043
13760,39,10002,10018
14043,39,10010,10028
14667,91,10010,10028
13602,39,10002,10031
13669,12,10011,10047
13670,12,10011,10047
13671,12,10011,10047
13672,12,10011,10044
13673,18,3,10046
14174,13,1,10040
13682,8,10006,10011
13683,8,10006,10011
13684,8,10006,10011
13685,8,10006,10011
13686,8,10006,10011
13687,8,10006,10011
14423,39,10002,10033
13870,39,10002,10018
13883,39,10002,10035
13884,39,10002,10035
13885,39,10002,10035
13886,39,10002,10033
13887,39,10002,10031
14219,39,10002,10018
14362,39,10002,10035
13603,39,10002,10031
13837,39,10002,10033
13874,43,10010,10028
13875,39,10010,10028
13876,39,10002,10035
13877,39,10002,10035
14668,91,10010,10028
14669,91,10010,10028
13674,18,3,10046
13737,39,10010,10028
14751,39,10002,10036
14754,91,10010,10028
14755,91,10010,10028
14756,91,10010,10028
13599,39,10002,10018
13639,26,2,10043
13675,39,10002,10033
13688,8,10006,10011
13689,8,10006,10011
13690,8,10006,10011
14150,13,2,10043
13834,43,10010,10028
13892,90,10002,10034
13893,39,10002,10031
13894,39,10002,10031
14363,39,10002,10018
912221,3,1,10042
13772,51,10002,10034
13826,43,10010,10028
13878,39,10002,10035
13879,39,10002,10035
14424,39,10002,10032
14425,39,10002,10032
14175,13,1,10040
14176,13,1,10040
14177,13,1,10040
14757,91,10010,10028
14758,91,10010,10028
13691,8,10006,10011
13692,8,10006,10011
13693,8,10006,10011
13694,8,10006,10011
13695,8,10006,10011
13696,8,10006,10011
14151,13,2,10043
14412,26,1,10042
13606,44,1,10041
13607,44,1,10040
13608,44,1,10040
13609,44,1,10040
13706,8,10006,10011
13707,8,10006,10011
13649,5,10006,10011
13730,39,10006,10013
912561,1,1,10041
