DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
2/01/2017,8847,210,CE,7754,1,10040,1,30,1,370,256.109052
2/01/2017,9066,210,AL,912865,1,10040,1,91,2,198,153.27997
3/01/2017,4328,202,PE,13869,1,10040,59,36,4,210,157.116148
3/01/2017,37052,210,PB,912523,1,10040,1,127,12,147,123.067642
3/01/2017,37052,210,PB,912462,1,10040,1,127,12,147,123.900863
3/01/2017,37052,210,PB,912524,1,10040,1,127,4,192,152.545982
3/01/2017,37052,210,PB,912482,1,10040,1,127,4,224,175.364156
3/01/2017,37052,210,PB,913770,1,10040,1,127,4,269,219.366976
3/01/2017,37052,210,PB,912816,1,10040,1,127,4,259,204.1215
3/01/2017,37052,210,PB,912835,1,10040,1,127,8,260,213.45
3/01/2017,37052,210,PB,912693,1,10040,1,127,4,224,178.174
3/01/2017,9066,210,AL,912865,1,10040,1,91,4,198,152.683051
3/01/2017,37059,210,PE,7587,1,10040,2,166,2,285.14,227.070866
4/01/2017,14149,210,CE,912482,1,10040,1,13,8,231,175.551717
4/01/2017,34053,210,PB,913478,1,10040,1,148,1,600,419.75
4/01/2017,37128,131,RN,912524,1,10040,1,127,4,210,151.117378
4/01/2017,3326,203,PE,12651,1,10040,2,36,4,210,169.665935
5/01/2017,3839,201,PE,12651,1,10040,2,4,8,210,169.665935
5/01/2017,4328,202,PE,13869,1,10040,59,36,4,210,157.116148
5/01/2017,9066,210,AL,913088,1,10040,1,91,2,272,218.101199
6/01/2017,16648,202,CE,97801,1,10040,1,17,7,210,163.504169
6/01/2017,20235,101,PI,12952,10002,10032,39,133,1,210,147.15
6/01/2017,8335,202,PI,912878,1,10040,1,28,3,210,168.892734
6/01/2017,2563,203,PE,97801,1,10040,1,123,12,210,164.00447
6/01/2017,2563,203,PE,13864,1,10040,59,123,12,210,163.535952
9/01/2017,23469,202,CE,912810,1,10040,1,34,4,210,181.532753
10/01/2017,11126,210,CE,912819,1,10040,1,33,4,340,258.118774
10/01/2017,25251,210,RN,97783,1,10042,3,59,2,360,250.72
10/01/2017,765,211,PE,12651,1,10040,2,4,20,210,169.665935
11/01/2017,35950,210,CE,912482,1,10040,1,13,8,232.65,175.565742
11/01/2017,35950,210,CE,912818,1,10040,1,13,4,267.85,207.475384
11/01/2017,23928,131,PE,13636,10002,10031,39,126,2,210,143.520047
