DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
2/01/2017,4574,211,AL,912462,1,10040,1,15,5,147,123.901448
2/01/2017,6043,211,CE,912460,1,10042,1,13,8,305,221.363707
2/01/2017,32989,211,CE,912818,1,10040,1,13,1,254,209.66723
2/01/2017,3861,211,PB,97801,1,10040,1,11,20,190,163.588298
2/01/2017,3942,211,CE,912462,1,10040,1,13,1,133,122.305914
2/01/2017,29982,211,CE,12832,1,10041,1,13,2,525,436.3925
3/01/2017,10825,211,PI,12219,1,10041,3,28,1,661,536.627941
3/01/2017,29982,211,CE,912810,1,10040,1,13,4,215,181.575253
3/01/2017,32989,211,CE,97762,1,10040,1,13,4,336,273.670792
3/01/2017,15809,203,PE,912524,1,10040,1,127,4,211,153.340145
3/01/2017,29982,211,CE,913619,1,10040,3,13,2,298,226.601499
4/01/2017,29982,211,CE,913151,1,10041,1,13,2,875,499.0125
4/01/2017,1423,211,PB,596,2,10043,1,10,2,1400,1177.57
4/01/2017,4574,211,AL,912223,1,10041,1,15,2,665,550.57252
5/01/2017,6043,211,CE,97801,1,10040,1,13,14,196,163.385169
6/01/2017,8289,211,CE,912829,1,10040,1,13,4,326,274.605656
6/01/2017,32393,211,CE,913770,1,10040,1,13,2,264,221.504
6/01/2017,1423,211,PB,7704,2,10043,1,10,2,1328,1079.008
6/01/2017,1423,211,PB,7704,2,10043,1,10,2,1328,1079.008
6/01/2017,8291,211,CE,97780,1,10041,3,13,2,444,356.828361
6/01/2017,1423,211,PB,3992,2,10043,1,10,2,1200,976.01
6/01/2017,1423,211,PB,12219,1,10041,3,11,2,661,497.2985
6/01/2017,8291,211,CE,912462,1,10040,1,13,1,147,122.305914
6/01/2017,12972,211,PI,912524,1,10040,1,28,6,192,152.731479
6/01/2017,12972,211,PI,912482,1,10040,1,28,4,224,174.84035
6/01/2017,12972,211,PI,912822,1,10040,1,28,10,259,206.769072
6/01/2017,12972,211,PI,97798,1,10041,1,28,2,591,435.964574
6/01/2017,12972,211,PI,912462,1,10040,1,28,16,147,123.901916
6/01/2017,1423,211,PB,12219,1,10041,3,11,2,661,497.298553
7/01/2017,16319,101,PI,912524,1,10040,1,28,3,211,152.892979
9/01/2017,6043,211,CE,912482,1,10040,1,13,12,219,175.449717
9/01/2017,29602,201,CE,912524,1,10040,1,146,4,211,152.459765
9/01/2017,31390,211,CE,12272,1,10042,3,13,2,447,340.487251
9/01/2017,31390,211,CE,97801,1,10040,1,13,2,196,163.385169
9/01/2017,5219,211,PE,13857,1,10040,59,43,8,205,155.141336
9/01/2017,5219,211,PE,97785,1,10042,3,43,4,407,315.77164
9/01/2017,5219,211,PE,912524,1,10040,1,43,12,189,152.955357
9/01/2017,5219,211,PE,912631,1,10040,1,43,2,219,171.373925
9/01/2017,5219,211,PE,912816,1,10040,1,43,3,244,203.99514
