DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
2/01/2017,15640,202,RN,912811,1,10040,1,42,2,276,226.472296
2/01/2017,15640,202,RN,912835,1,10040,1,42,4,260,213.450344
2/01/2017,6400,202,CE,596,2,10043,1,33,2,1400,1177.573008
2/01/2017,6400,202,CE,13055,10006,10011,77,33,2,100,71.746607
2/01/2017,6400,202,CE,13123,10006,10013,84,33,2,40,21.466313
2/01/2017,8657,202,RN,912816,1,10040,1,59,1,243.2,203.9872
2/01/2017,12528,202,MA,912822,1,10040,1,95,8,259,209.562358
2/01/2017,12528,202,MA,912818,1,10040,1,95,4,259,208.821692
2/01/2017,12304,202,MA,912462,1,10040,1,95,10,147,123.901716
2/01/2017,12304,202,MA,912524,1,10040,1,95,10,192,152.564591
2/01/2017,12304,202,MA,912482,1,10040,1,95,10,220,173.849637
2/01/2017,12304,202,MA,912822,1,10040,1,95,10,259,209.562358
2/01/2017,12304,202,MA,97798,1,10041,1,95,4,539,437.310595
2/01/2017,7853,202,CE,912086,1,10041,1,99,4,632,457.992
2/01/2017,14252,202,AL,912693,1,10040,1,91,6,231,177.964152
2/01/2017,4739,202,CE,912482,1,10040,1,13,1,224,173.588217
2/01/2017,36901,202,PB,97803,1,10041,1,11,4,495,375.855999
2/01/2017,36901,202,PB,912835,1,10040,1,11,8,267,213.509536
2/01/2017,6417,202,CE,912462,1,10040,1,13,8,147,123.555414
2/01/2017,6417,202,CE,912462,1,10040,1,13,2,144,122.305914
2/01/2017,6936,202,CE,912524,1,10040,1,13,1,189,150.952379
2/01/2017,5536,202,PB,912835,1,10040,1,11,2,267,213.509536
2/01/2017,5536,202,PB,97804,1,10041,3,11,2,425,339.028326
2/01/2017,23199,202,PB,912462,1,10040,1,11,6,147,123.901645
2/01/2017,23199,202,PB,97803,1,10041,1,11,2,490,375.813499
2/01/2017,23199,202,PB,912693,1,10040,1,11,2,226,178.072608
2/01/2017,23199,202,PB,912482,1,10040,1,11,4,226,174.578835
2/01/2017,3021,202,PE,13042,1,10040,2,36,2,520,432.673692
2/01/2017,5413,202,PB,12672,2,10043,1,11,2,1560,1265.01
2/01/2017,23166,202,RN,13759,2,10043,42,42,2,600,473.450373
2/01/2017,23166,202,RN,97801,1,10040,1,42,2,206,163.158128
2/01/2017,23166,202,RN,912524,1,10040,1,42,4,198,152.800378
2/01/2017,8657,202,RN,912482,1,10040,1,59,4,219.45,175.415007
2/01/2017,33525,202,PI,912462,1,10040,1,143,2,151,123.935916
3/01/2017,7853,202,CE,912086,1,10041,1,99,4,632,457.992
3/01/2017,7853,202,CE,12645,10002,10018,39,99,2,7,0.603113
3/01/2017,8657,202,RN,912524,1,10040,1,59,3,189.05,152.730293
3/01/2017,25943,202,RN,12323,1,10041,3,127,2,780,717.430629
3/01/2017,25943,202,RN,912524,1,10040,1,127,1,192,152.749378
3/01/2017,4328,202,PE,912462,1,10040,1,36,8,147,123.90214
3/01/2017,4328,202,PE,912523,1,10040,1,36,4,147,123.908156
3/01/2017,4328,202,PE,912810,1,10040,1,36,8,220,181.88704
3/01/2017,4328,202,PE,912524,1,10040,1,36,12,192,152.980857
3/01/2017,4328,202,PE,97801,1,10040,1,36,4,200,163.91947
3/01/2017,4328,202,PE,912693,1,10040,1,36,4,225,178.164926
3/01/2017,4328,202,PE,913770,1,10040,1,36,4,270,219.384984
3/01/2017,4328,202,PE,13861,1,10040,59,36,4,185,139.532689
3/01/2017,4328,202,PE,912835,1,10040,1,36,4,260,213.450829
3/01/2017,4328,202,PE,13869,1,10040,59,36,4,210,157.116148
3/01/2017,7853,202,CE,912482,1,10040,1,99,2,265,178.019464
3/01/2017,28756,202,PE,912462,1,10040,1,43,8,146,123.89364
3/01/2017,28756,202,PE,912482,1,10040,1,43,3,224,173.903999
3/01/2017,4328,202,PE,13860,1,10040,59,36,8,175.01,143.197886
3/01/2017,24219,202,PI,913619,1,10040,3,28,4,315,226.75595
3/01/2017,24219,202,PI,912462,1,10040,1,28,8,151,123.935916
3/01/2017,10721,202,PI,912835,1,10040,1,28,4,260,213.385526
3/01/2017,10721,202,PI,912818,1,10040,1,28,6,259,207.293539
3/01/2017,9891,202,PB,912482,1,10040,1,109,4,225,174.570335
3/01/2017,25454,202,PE,912462,1,10040,1,43,20,147,123.90214
3/01/2017,25454,202,PE,13854,1,10041,59,43,4,430,322.444809
3/01/2017,7696,203,CE,97801,1,10040,1,34,12,202,163.436169
3/01/2017,8335,202,PI,912462,1,10040,1,28,12,151,123.935916
3/01/2017,7817,202,CE,97798,1,10041,1,34,4,560,436.689688
3/01/2017,7310,202,PI,912462,1,10040,1,28,20,145,123.884916
3/01/2017,32147,202,CE,12672,2,10043,1,30,4,1595,1265.307035
3/01/2017,8657,202,RN,13021,1,10041,44,59,2,527,424.818862
3/01/2017,12255,202,MA,912086,1,10041,1,170,1,611,448.14
3/01/2017,8657,202,RN,912693,1,10040,1,59,1,245,182.589167
3/01/2017,9622,202,PE,912835,1,10040,1,7,2,255,213.407498
3/01/2017,33525,202,PI,912462,1,10040,1,143,12,151,123.935916
3/01/2017,33525,202,PI,97801,1,10040,1,143,4,206,164.016907
3/01/2017,33525,202,PI,912482,1,10040,1,143,12,231,174.89985
3/01/2017,8657,202,RN,912827,1,10040,1,59,1,321.83,254.505555
4/01/2017,4395,202,CE,912827,1,10040,1,13,4,311,257.037786
4/01/2017,8657,202,RN,912835,1,10040,1,59,1,259,213.4415
4/01/2017,4621,202,PE,12272,1,10042,3,9,2,460,340.6
4/01/2017,4621,202,PE,912827,1,10040,1,9,4,320,254.396875
4/01/2017,3509,202,PE,97801,1,10040,1,123,3,205,163.96197
4/01/2017,3509,202,PE,13864,1,10040,59,123,4,216,163.586952
4/01/2017,3509,202,PE,13869,1,10040,59,123,4,208,157.099148
4/01/2017,25454,202,PE,13759,2,10043,42,43,4,540,434.082505
4/01/2017,3509,202,PE,13854,1,10041,59,123,2,430,322.444809
4/01/2017,3509,202,PE,13861,1,10040,59,123,6,185,139.532689
4/01/2017,5447,202,PB,912462,1,10040,1,11,14,143.8,123.873663
4/01/2017,5447,202,PB,97783,1,10042,3,11,4,365,250.7725
4/01/2017,5447,202,PB,912482,1,10040,1,11,2,226,175.381156
4/01/2017,4739,202,CE,12805,1,10041,3,13,4,477,388.258958
4/01/2017,4739,202,CE,912462,1,10040,1,13,8,147,123.555414
4/01/2017,11156,202,CE,7784,1,10041,3,34,4,350,298.268267
4/01/2017,11156,202,CE,912524,1,10040,1,34,4,192,152.584379
4/01/2017,11156,202,CE,913090,1,10040,1,34,6,270,229.762057
4/01/2017,11156,202,CE,912822,1,10040,1,34,5,260,209.105054
4/01/2017,4395,202,CE,912462,1,10040,1,13,4,147,123.555414
4/01/2017,11750,202,CE,912816,1,10040,1,17,4,245,204.004401
4/01/2017,4621,202,PE,912482,1,10040,1,9,2,230,173.954863
4/01/2017,3461,202,AL,12093,1,10041,1,141,4,700,217.93
4/01/2017,3461,202,AL,97798,1,10041,1,141,4,635,436.201685
4/01/2017,11757,202,CE,912462,1,10040,1,17,4,145,123.538414
4/01/2017,11757,202,CE,97801,1,10040,1,17,3,200,163.419169
4/01/2017,8657,202,RN,912352,1,10041,1,59,4,682,572.61
4/01/2017,4308,202,CE,97762,1,10040,1,17,2,359,271.193968
4/01/2017,36362,202,AL,97780,1,10041,3,31,2,470,357.065
4/01/2017,11869,202,MA,97785,1,10042,3,96,2,415,315.839819
4/01/2017,11869,202,MA,7793,1,10041,1,96,4,635,464.32754
4/01/2017,8657,202,RN,912819,1,10040,1,59,2,381,258.4685
4/01/2017,4308,202,CE,912524,1,10040,1,17,1,64,151.227579
4/01/2017,4308,202,CE,912462,1,10040,1,17,1,50,122.520914
4/01/2017,4308,202,CE,912482,1,10040,1,17,1,75,173.910717
4/01/2017,4308,202,CE,97801,1,10040,1,17,1,70,162.020169
4/01/2017,14539,202,CE,7559,2,10043,1,99,4,1403,1111.565333
4/01/2017,14570,202,CE,912462,1,10040,1,17,1,143,122.305914
4/01/2017,25943,202,RN,97762,1,10040,1,127,6,336,270.999486
4/01/2017,4395,202,CE,912818,1,10040,1,13,4,259,207.400159
4/01/2017,4395,202,CE,912524,1,10040,1,13,4,192,152.584379
4/01/2017,4395,202,CE,912523,1,10040,1,13,4,147,123.839829
4/01/2017,4395,202,CE,913770,1,10040,1,13,2,269,219.376524
4/01/2017,5089,202,CE,912462,1,10040,1,17,1,143,122.305914
4/01/2017,14244,202,MA,912462,1,10040,1,174,8,147,123.901716
4/01/2017,14244,202,MA,912826,1,10040,1,174,16,209,183.610804
4/01/2017,14244,202,MA,912811,1,10040,1,174,8,276,227.70379
4/01/2017,11757,202,CE,912819,1,10040,1,17,2,340,258.118774
5/01/2017,4900,202,PE,912693,1,10040,1,123,8,223,176.252426
5/01/2017,36759,202,PB,912523,1,10040,1,169,2,151,122.451304
5/01/2017,36759,202,PB,912462,1,10040,1,169,2,151,122.65
5/01/2017,36759,202,PB,97801,1,10040,1,169,2,206,162.27
5/01/2017,36759,202,PB,912524,1,10040,1,169,4,192,150.979961
5/01/2017,5237,202,CE,7784,1,10041,3,17,6,359,298.344767
5/01/2017,5237,202,CE,912482,1,10040,1,17,3,218,175.441217
5/01/2017,36036,202,CE,912462,1,10040,1,13,8,147,123.555414
5/01/2017,36036,202,CE,912523,1,10040,1,13,4,147,123.839829
5/01/2017,36036,202,CE,912482,1,10040,1,13,4,224,175.492217
5/01/2017,36036,202,CE,912693,1,10040,1,13,4,224,178.119237
5/01/2017,36036,202,CE,912811,1,10040,1,13,4,276,227.620941
5/01/2017,36036,202,CE,912460,1,10042,1,13,4,311,221.414707
5/01/2017,36036,202,CE,97783,1,10042,3,13,4,343,250.543943
5/01/2017,36036,202,CE,912818,1,10040,1,13,4,259,207.400159
5/01/2017,8466,202,CE,7704,2,10043,1,34,4,1320,1078.94619
5/01/2017,4328,202,PE,912818,1,10040,1,36,3,260,213.669386
5/01/2017,4328,202,PE,13861,1,10040,59,36,4,185,139.532689
5/01/2017,4328,202,PE,13869,1,10040,59,36,4,210,157.116148
5/01/2017,4328,202,PE,13864,1,10040,59,36,6,216,163.586952
5/01/2017,31193,202,PI,912827,1,10040,1,143,2,321,254.663959
5/01/2017,31193,202,PI,912818,1,10040,1,143,2,267,207.361539
5/01/2017,31193,202,PI,97781,1,10042,3,143,2,279,224.659392
5/01/2017,7729,202,CE,912462,1,10040,1,17,1,143,122.305914
5/01/2017,7436,202,PI,912524,1,10040,1,28,16,189,152.705979
5/01/2017,7436,202,PI,912693,1,10040,1,28,8,220,177.869465
5/01/2017,13502,202,PB,97803,1,10041,1,109,4,477,375.7045
5/01/2017,13502,202,PB,7790,2,10043,1,109,4,683,536.328
5/01/2017,11644,202,SE,97801,1,10040,1,161,2,200,162.416127
5/01/2017,11980,202,MA,913088,1,10040,1,96,4,269,210.505512
5/01/2017,7853,202,CE,912086,1,10041,1,99,4,632,457.992
5/01/2017,21985,202,PE,912482,1,10040,1,43,6,221,173.878499
5/01/2017,21985,202,PE,912693,1,10040,1,43,4,221,178.130926
5/01/2017,21985,202,PE,97801,1,10040,1,43,6,200,163.91947
5/01/2017,21985,202,PE,912524,1,10040,1,43,6,192,152.980857
5/01/2017,21985,202,PE,912462,1,10040,1,43,10,145,123.88514
5/01/2017,11609,202,MA,912462,1,10040,1,96,10,151,123.935716
5/01/2017,11609,202,MA,913658,1,10040,3,96,2,256,202.49081
6/01/2017,16648,202,CE,913600,1,10040,3,17,4,387,291.119851
6/01/2017,16648,202,CE,912482,1,10040,1,17,8,224,175.492217
