DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
2/01/2017,11670,212,PE,912462,1,10040,1,4,4,148,123.91064
2/01/2017,11670,212,PE,912523,1,10040,1,4,5,148,123.916656
2/01/2017,11670,212,PE,912524,1,10040,1,4,7,198,153.031857
2/01/2017,11670,212,PE,912818,1,10040,1,4,4,260,213.669386
2/01/2017,11670,212,PE,912822,1,10040,1,4,4,260,209.666162
3/01/2017,6474,203,PB,912693,1,10040,1,11,100,212,177.953608
3/01/2017,10294,212,PI,913619,1,10040,3,28,4,330,226.88345
4/01/2017,4426,203,CE,912693,1,10040,1,13,2,212,176.215237
4/01/2017,10294,212,PI,912482,1,10040,1,28,4,231,174.89985
5/01/2017,27656,212,RN,913619,1,10040,3,42,4,285.6,226.506042
12/01/2017,23306,101,PE,13864,1,10040,59,123,8,212,163.552952
12/01/2017,23306,101,PE,13869,1,10040,59,123,8,212,157.133148
14/01/2017,28411,203,MA,912693,1,10040,1,174,20,212,177.628502
14/01/2017,28411,203,MA,912482,1,10040,1,174,4,212,173.781637
17/01/2017,12323,202,PE,13864,1,10040,59,43,4,212,163.552952
17/01/2017,28829,203,MA,912693,1,10040,1,154,19,212,175.826502
18/01/2017,23067,201,PE,13864,1,10040,59,7,2,212,163.552
19/01/2017,5040,201,PE,13857,1,10040,59,123,10,212,155.200836
19/01/2017,5040,201,PE,13869,1,10040,59,123,10,212,157.133148
19/01/2017,11670,212,PE,912816,1,10040,1,4,2,250,204.04614
19/01/2017,11670,212,PE,7718,1,10040,2,4,4,280,214.834
20/01/2017,5040,201,PE,13864,1,10040,59,123,10,212,177.002345
20/01/2017,3861,211,PB,912693,1,10040,1,11,30,212,177.952
21/01/2017,10825,211,PI,912482,1,10040,1,28,20,212,174.73835
21/01/2017,10825,211,PI,912693,1,10040,1,28,8,212,177.801465
27/01/2017,4245,203,CE,912482,1,10040,1,13,8,212,175.390217
30/01/2017,8291,211,CE,912631,1,10040,1,13,2,212,171.314504
30/01/2017,8291,211,CE,912482,1,10040,1,13,20,212,175.390217
30/01/2017,8289,211,CE,912693,1,10040,1,13,9,212,179.762287
30/01/2017,8289,211,CE,912840,1,10040,1,13,2,212,178.946669
31/01/2017,14881,201,PE,13864,1,10040,59,123,4,212,163.552952
31/01/2017,14881,201,PE,13869,1,10040,59,123,4,212,157.133148
31/01/2017,28829,203,MA,912693,1,10040,1,154,21,212,175.826502
31/01/2017,6474,203,PB,912693,1,10040,1,11,100,212,178.692294
31/01/2017,25604,201,PE,912482,1,10040,1,6,20,212,174.919184
31/01/2017,25604,201,PE,912524,1,10040,1,6,10,212,153.150857
2/02/2017,13071,212,PE,912810,1,10040,1,36,2,238,183.369859
7/02/2017,11670,212,PE,12089,1,10041,1,4,2,513,330.211833
7/02/2017,11670,212,PE,912810,1,10040,1,4,4,230,183.301859
7/02/2017,11670,212,PE,913658,1,10040,3,4,4,256,209.64625
7/02/2017,11670,212,PE,912816,1,10040,1,4,4,256,208.135613
7/02/2017,11670,212,PE,912482,1,10040,1,4,8,230,175.072184
7/02/2017,11670,212,PE,912523,1,10040,1,4,4,151.5,126.378048
7/02/2017,11670,212,PE,912849,1,10040,1,4,4,280,239.049378
10/02/2017,23507,212,SE,912693,1,10040,1,161,2,222.68,181.412795
10/02/2017,23507,212,SE,912482,1,10040,1,161,2,224.8,177.350799
13/02/2017,10294,212,PI,913770,1,10040,1,28,2,283,223.837306
15/02/2017,14582,212,PB,912482,1,10040,1,10,8,235,175.261699
15/02/2017,27656,212,RN,912819,1,10040,1,42,2,322.36,257.968513
15/02/2017,14582,212,PB,912462,1,10040,1,10,6,154,125.915457
15/02/2017,14582,212,PB,912482,1,10040,1,10,12,235,176.80482
15/02/2017,14582,212,PB,912693,1,10040,1,10,4,235,179.82698
