14/01/2017;6549;103;CE;7559;2;10043;1;17;2;1400;1111.539833
16/01/2017;30701;103;SE;12672;2;10043;1;108;8;1600;1265.349523
16/01/2017;30701;103;SE;12672;2;10043;1;108;4;1600;1265.349523
16/01/2017;16597;103;PI;7790;2;10043;1;28;16;660;552.480479
16/01/2017;11296;103;SE;7704;2;10043;1;108;4;1365;1074.846464
16/01/2017;6778;103;CE;7704;2;10043;1;33;4;1289;1078.68269
16/01/2017;6778;103;CE;7790;2;10043;1;33;2;680;537.72586
16/01/2017;11338;103;SE;7559;2;10043;1;108;4;1490;1112.598588
16/01/2017;195;103;PE;97780;1;10041;3;1;4;449;356.884405
16/01/2017;233;103;PE;596;2;10043;1;5;12;1446;1177.963987
16/01/2017;30327;103;MA;12671;2;10043;1;174;2;1397;1129.507216
17/01/2017;11619;103;MA;13400;2;10045;28;94;2;1120;975.816
17/01/2017;8537;103;PI;596;2;10043;1;28;2;1470;1178.865205
17/01/2017;8537;103;PI;13055;10006;10011;77;28;2;92;71.632053
17/01/2017;8537;103;PI;13123;10006;10013;84;28;2;38;21.144319
17/01/2017;8537;103;PI;912086;1;10041;1;28;4;580;453.07001
17/01/2017;6737;103;AL;596;2;10043;1;14;4;1440;1268.1
17/01/2017;6737;103;AL;13055;10006;10011;77;14;4;95;74.8375
17/01/2017;14387;103;AL;7559;2;10043;1;15;6;1344;1111.158783
17/01/2017;14387;103;AL;912811;1;10040;1;15;4;276;227.705353
17/01/2017;14387;103;AL;912849;1;10040;1;15;2;290;234.495
17/01/2017;11619;103;MA;7625;2;10045;10;94;2;1050;868.897849
18/01/2017;22204;103;CE;912088;1;10041;1;172;4;462;337.87239
18/01/2017;9067;103;CE;912826;1;10040;1;33;4;270;180.488259
18/01/2017;9067;103;CE;12684;10002;10018;39;33;4;7.5;0.524091
18/01/2017;31082;103;PE;12802;1;10040;2;166;2;269;198.23
19/01/2017;14387;103;AL;912221;1;10042;3;15;8;359;277.968192
19/01/2017;11455;103;RN;912482;1;10040;1;59;2;224;175.444363
19/01/2017;11296;103;SE;7704;2;10043;1;108;4;1365;1074.846464
19/01/2017;9067;103;CE;912524;1;10040;1;33;4;220;152.46
19/01/2017;9067;103;CE;12684;10002;10018;39;33;4;7.5;0.524091
19/01/2017;2559;103;AL;13957;2;10043;60;14;2;1350;1114.595
19/01/2017;6737;103;AL;596;2;10043;1;14;6;1440;1178.32
19/01/2017;6737;103;AL;13055;10006;10011;77;14;4;95;72.6475
19/01/2017;4654;103;PE;7704;2;10043;1;5;10;1350;1079.195507
19/01/2017;13041;103;SE;7559;2;10043;1;108;6;1370;1111.578588
19/01/2017;13041;103;SE;7559;2;10043;1;108;4;1370;1111.578588
20/01/2017;11187;103;SE;7790;2;10043;1;108;10;705;534.196979
20/01/2017;14387;103;AL;12820;1;10041;3;15;2;557;406.7745
20/01/2017;11619;103;MA;13102;2;10043;45;95;4;1360;1204.100566
20/01/2017;11619;103;MA;7559;2;10043;1;95;2;1450;1110.1359
20/01/2017;285;103;PE;7704;2;10043;1;1;50;1250;1078.345507
20/01/2017;8079;103;CE;7535;2;10043;11;33;4;680;469.27
20/01/2017;285;103;PE;7657;2;10045;9;1;30;1060;949.01
20/01/2017;33205;103;RN;912523;1;10040;1;127;2;150;122.643296
20/01/2017;11296;103;SE;7704;2;10043;1;108;4;1365;1074.846464
20/01/2017;30701;103;SE;12672;2;10043;1;108;4;1600;1265.349523
20/01/2017;14387;103;AL;7787;1;10041;3;15;2;639;523.108986
23/01/2017;11455;103;RN;7709;1;10041;2;59;2;599;467.84927
23/01/2017;11455;103;RN;912524;1;10040;1;59;2;198;152.803108
23/01/2017;23560;103;AL;13055;10006;10011;77;31;3;100;72.728996
23/01/2017;23560;103;AL;13056;10006;10011;77;31;1;90;62.704867
23/01/2017;23560;103;AL;13125;10006;10013;84;31;1;45;18.596148
23/01/2017;24734;103;MA;13054;10006;10011;77;174;10;93;67.210445
23/01/2017;24734;103;MA;13125;10006;10013;84;174;10;39;20.320556
23/01/2017;33205;103;RN;7790;2;10043;1;127;2;700;528.204479
23/01/2017;1464;103;PE;912482;1;10040;1;6;10;220;173.869999
23/01/2017;3383;103;AL;13971;2;10043;14;141;2;1350;1142.875
23/01/2017;3251;103;AL;13106;2;10043;45;15;2;1280;1109.154
23/01/2017;1866;103;PE;97785;1;10042;3;1;6;415;315.83964
23/01/2017;1866;103;PE;7784;1;10041;3;1;2;359;295.287166
23/01/2017;1866;103;PE;912088;1;10041;1;1;6;421;340.687567
24/01/2017;28249;103;CE;12671;2;10043;1;262;4;1450;1129.955
24/01/2017;14387;103;AL;7790;2;10043;1;15;1;680;537.930002
24/01/2017;4766;103;AL;97781;1;10042;3;15;2;290;225.64496
24/01/2017;13496;103;CE;7704;2;10043;1;263;2;1400;1079.62619
25/01/2017;33205;103;RN;913963;1;10040;1;127;4;330;238.79993
25/01/2017;33205;103;RN;12722;1;10040;1;127;2;387;209.699781
25/01/2017;28880;103;PB;912835;1;10040;1;148;4;275;213.5775
25/01/2017;14003;103;SE;13055;10006;10011;77;108;6;99;73.330197
25/01/2017;10184;103;CE;12671;2;10043;1;17;2;1500;1130.382813
25/01/2017;14387;103;AL;7704;2;10043;1;15;10;1274;1076.981501
25/01/2017;8864;103;PI;7704;2;10043;1;75;2;1350;1085.610378
25/01/2017;11296;103;SE;7704;2;10043;1;108;4;1365;1074.846464
26/01/2017;21734;103;MA;7559;2;10043;1;174;4;1390;1109.6259
26/01/2017;8537;103;PI;7704;2;10043;1;28;2;1380;1085.865378
26/01/2017;2862;103;SE;596;2;10043;1;108;10;1400;1177.572987
26/01/2017;2862;103;SE;13055;10006;10011;77;108;20;100;73.338697
26/01/2017;33205;103;RN;912462;1;10040;1;127;4;160;122.65097
26/01/2017;11619;103;MA;596;2;10043;1;95;4;1400;1178.227172
26/01/2017;21734;103;MA;7704;2;10043;1;174;4;1304;1078.791775
26/01/2017;1464;103;PE;7790;2;10043;1;6;4;700;546.664373
26/01/2017;31082;103;PE;12651;1;10040;2;166;2;211;167.880935
26/01/2017;31082;103;PE;912524;1;10040;1;166;6;211;151.348857
27/01/2017;14387;103;AL;7559;2;10043;1;15;2;1360;1111.294783
27/01/2017;2868;103;CE;912221;1;10042;3;33;1;400;278.32
27/01/2017;2559;103;AL;13957;2;10043;60;141;2;1365;1114.7225
27/01/2017;33205;103;RN;912693;1;10040;1;127;1;245;179.359685
27/01/2017;11640;103;MA;912818;1;10040;1;96;4;259;208.821692
27/01/2017;4531;103;AL;7559;2;10043;1;15;2;1400;1158.98
27/01/2017;33205;103;RN;912865;1;10040;1;127;1;220;160.925549
27/01/2017;4604;103;CE;3992;2;10043;1;17;4;1250;976.43678
27/01/2017;16597;103;PI;7704;2;10043;1;28;10;1369;1085.771878
