DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
31/01/2017,28829,203,MA,912462,1,10040,1,154,121,138,122.652216
10/03/2017,12051,131,CE,13055,10006,10011,77,176,2,121,77.194593
12/04/2017,8391,202,RN,912462,1,10040,1,42,121,138,126.047295
29/04/2017,7287,131,CE,13055,10006,10011,77,176,2,121,76.769646
8/05/2017,10132,102,PI,13055,10006,10011,77,75,2,121,76.685372
12/05/2017,44751,101,RN,13055,10006,10011,77,196,4,121,77.705391
20/05/2017,42213,101,MA,13055,10006,10011,77,184,1,121,74.816842
24/05/2017,16184,102,PI,13055,10006,10011,77,75,4,121,76.685372
30/05/2017,12906,101,PE,13055,10006,10011,77,6,5,121,76.755171
3/06/2017,44305,131,PI,13290,10002,10033,39,193,1,121,55.06
8/01/2018,25255,101,AL,12997,10002,10033,39,140,1,121,67.269995
25/01/2018,35400,101,AL,13055,10006,10011,77,141,2,121,76.757919
3/02/2018,35400,101,AL,13055,10006,10011,77,141,2,121,76.757919
9/02/2018,35400,101,AL,13055,10006,10011,77,141,2,121,76.757919
23/02/2018,35400,101,AL,13055,10006,10011,77,141,2,121,76.757919
13/03/2018,65928,131,CE,13056,10006,10011,77,132,2,121,65.231981
27/03/2018,66965,121,BA,14194,1,10040,14,212,2,264,186.27735
25/04/2018,67135,121,BA,14678,10010,10028,91,180,1,21.15,13.52508
18/05/2018,68116,131,AL,13134,10002,10031,39,340,2,121,66.44
15/06/2018,72324,121,AL,12645,10002,10018,39,340,4,10,1.099499
15/06/2018,72324,121,AL,912693,1,10040,1,340,4,285,186.53
