DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
2/01/2017,5933,203,CE,912482,1,10040,1,34,9,220,175.458217
2/01/2017,32437,203,PB,7782,1,10042,3,83,4,310,231.995
2/01/2017,5565,203,CE,596,2,10043,1,17,2,1392,1177.505008
2/01/2017,3063,203,AL,912462,1,10040,1,91,30,143.8,123.874248
2/01/2017,3205,203,PE,12651,1,10040,2,123,12,200,169.580935
2/01/2017,3205,203,PE,912524,1,10040,1,123,12,195,153.006357
2/01/2017,7885,203,PE,912460,1,10042,1,36,12,315.42,221.451918
2/01/2017,5542,203,PB,912818,1,10040,1,109,8,259,206.5015
2/01/2017,7813,203,PI,912524,1,10040,1,28,125,184,152.663479
2/01/2017,7093,203,PE,912482,1,10040,1,36,4,228,173.937999
2/01/2017,8421,203,RN,912631,1,10040,1,42,2,231,171.477471
2/01/2017,16656,203,CE,13821,2,10045,28,13,1,516,424.386
2/01/2017,16656,203,CE,12869,10006,10011,5,13,1,55,29.225911
2/01/2017,1310,203,PI,12831,1,10040,1,28,4,528,375.784219
2/01/2017,25526,203,RN,912523,1,10040,1,127,12,144,123.867296
2/01/2017,25526,203,RN,912462,1,10040,1,127,20,144,123.87497
2/01/2017,25526,203,RN,912524,1,10040,1,127,3,189,152.723878
2/01/2017,25526,203,RN,912816,1,10040,1,127,4,254,204.077942
2/01/2017,25526,203,RN,912835,1,10040,1,127,10,255,213.407844
2/01/2017,7782,203,PE,7708,1,10040,2,4,20,300,213.751759
2/01/2017,8546,203,RN,912462,1,10040,1,42,8,147,123.90047
2/01/2017,8546,203,RN,97762,1,10040,1,42,3,343,271.058986
2/01/2017,7813,203,PI,912835,1,10040,1,28,8,260,213.385526
2/01/2017,25526,203,RN,912811,1,10040,1,127,4,270,226.421296
2/01/2017,7093,203,PE,97801,1,10040,1,36,2,205,163.96197
2/01/2017,6914,203,PE,912462,1,10040,1,123,10,148,123.91064
2/01/2017,6914,203,PE,97781,1,10042,3,123,2,270,225.475091
2/01/2017,6914,203,PE,912482,1,10040,1,123,4,223,173.895499
2/01/2017,3063,203,AL,912460,1,10042,1,91,3,321,221.49861
3/01/2017,2680,203,PE,97781,1,10042,3,36,2,270,225.475091
3/01/2017,2680,203,PE,97762,1,10040,1,36,4,345,270.052334
3/01/2017,2680,203,PE,913619,1,10040,3,36,1,310,226.711703
3/01/2017,7386,203,PE,912462,1,10040,1,36,40,145,123.88514
3/01/2017,5719,203,CE,7790,2,10043,1,34,6,680,537.72586
3/01/2017,5719,203,CE,912693,1,10040,1,34,10,220,178.085237
3/01/2017,5719,203,CE,912221,1,10042,3,34,2,360,277.975481
3/01/2017,5719,203,CE,912835,1,10040,1,34,4,260,213.447781
3/01/2017,5719,203,CE,912818,1,10040,1,34,2,260,207.408659
3/01/2017,5719,203,CE,912822,1,10040,1,34,2,260,209.105054
3/01/2017,5719,203,CE,97803,1,10041,1,34,2,460,375.202993
3/01/2017,5719,203,CE,912523,1,10040,1,34,2,145,123.822829
3/01/2017,5542,203,PB,97762,1,10040,1,109,2,340,271.038549
3/01/2017,5542,203,PB,912827,1,10040,1,109,4,311,254.579028
3/01/2017,7520,203,PI,913089,1,10040,1,28,3,264,204.91135
3/01/2017,7520,203,PI,97801,1,10040,1,28,8,200,163.965907
3/01/2017,7520,203,PI,97781,1,10042,3,28,4,270,224.582892
3/01/2017,7520,203,PI,912878,1,10040,1,28,8,199,168.799234
3/01/2017,7520,203,PI,912818,1,10040,1,28,10,259,207.293539
3/01/2017,7520,203,PI,912835,1,10040,1,28,10,260,213.385526
3/01/2017,7520,203,PI,912482,1,10040,1,28,10,219,174.79785
3/01/2017,7520,203,PI,97780,1,10041,3,28,7,460,356.974494
3/01/2017,7520,203,PI,912819,1,10040,1,28,8,334,258.067775
3/01/2017,6474,203,PB,912693,1,10040,1,11,100,212,177.953608
3/01/2017,6474,203,PB,912822,1,10040,1,11,12,238,209.515537
3/01/2017,4020,203,PB,912723,1,10041,1,11,2,648,536.647565
3/01/2017,26974,203,PE,912524,1,10040,1,7,14,192,152.980857
3/01/2017,22858,203,SE,912482,1,10040,1,108,2,231,174.042009
3/01/2017,26974,203,PE,912462,1,10040,1,7,10,147,123.90214
3/01/2017,7813,203,PI,7704,2,10043,1,28,4,1345,1085.567878
3/01/2017,4346,203,CE,7559,2,10043,1,13,2,1440,1111.898408
3/01/2017,172,203,PE,13329,10002,10033,39,126,1,11.06,10.744559
3/01/2017,172,203,PE,13159,10002,10033,39,126,2,50.75,32.384164
3/01/2017,172,203,PE,13227,10002,10031,39,126,1,33.35,49.274157
3/01/2017,172,203,PE,13525,10010,10028,39,126,3,19.25,18.689407
3/01/2017,26974,203,PE,912693,1,10040,1,7,6,224,178.156426
3/01/2017,26974,203,PE,912822,1,10040,1,7,6,259,209.657662
3/01/2017,192,203,SE,12671,2,10043,1,161,4,1284.64,1121.513229
3/01/2017,7696,203,CE,97801,1,10040,1,34,12,202,163.436169
3/01/2017,7696,203,CE,912693,1,10040,1,34,2,220,178.085237
3/01/2017,7696,203,CE,912482,1,10040,1,34,12,220,175.458217
3/01/2017,7813,203,PI,13123,10006,10013,84,28,2,38,21.144319
3/01/2017,7093,203,PE,912482,1,10040,1,36,4,228,173.937999
3/01/2017,8551,203,SE,912631,1,10040,1,161,4,219,171.380059
3/01/2017,7813,203,PI,12921,2,10045,10,28,2,1100,840.751752
3/01/2017,7813,203,PI,13055,10006,10011,77,28,1,99,71.691553
3/01/2017,7928,203,RN,912462,1,10040,1,42,27,144,123.87497
3/01/2017,7928,203,RN,912523,1,10040,1,42,6,144,123.867296
3/01/2017,7928,203,RN,97762,1,10040,1,42,4,343,271.058986
3/01/2017,7928,203,RN,97781,1,10042,3,42,6,265,225.432159
3/01/2017,15809,203,PE,912524,1,10040,1,127,4,211,153.340145
3/01/2017,3096,203,PE,97783,1,10042,3,4,12,320,254.422741
3/01/2017,3096,203,PE,7784,1,10041,3,4,12,347,298.236666
3/01/2017,3096,203,PE,912693,1,10040,1,4,20,200,177.952426
3/01/2017,3096,203,PE,912462,1,10040,1,4,30,145,123.88514
3/01/2017,3096,203,PE,97785,1,10042,3,4,8,410,315.79714
3/01/2017,7529,203,CE,97785,1,10042,3,34,2,390,315.626799
3/01/2017,4779,203,CE,97762,1,10040,1,34,4,350,271.117468
3/01/2017,4779,203,CE,7790,2,10043,1,34,2,680,537.72586
3/01/2017,4387,203,PE,912462,1,10040,1,4,30,145,123.88514
3/01/2017,8551,203,SE,97783,1,10042,3,161,20,336,250.521619
3/01/2017,5542,203,PB,912631,1,10040,1,109,6,259,138.8915
3/01/2017,7221,203,PI,97801,1,10040,1,27,5,184.56,163.834667
3/01/2017,8551,203,SE,912462,1,10040,1,161,40,142,123.533405
3/01/2017,3157,203,PE,13039,1,10041,2,123,4,530,373.349
3/01/2017,3157,203,PE,97780,1,10041,3,123,4,470,357.062905
3/01/2017,3157,203,PE,12485,1,10041,3,123,2,507,403.065174
3/01/2017,3157,203,PE,912462,1,10040,1,123,20,143.8,123.87494
3/01/2017,5542,203,PB,912631,1,10040,1,109,2,259,138.89589
4/01/2017,172,203,PE,13857,1,10040,59,25,4,153.4,159.048687
4/01/2017,769,203,PE,912811,1,10040,1,36,20,270,227.6493
4/01/2017,7215,203,PI,12831,1,10040,1,27,4,421.93,374.882624
4/01/2017,22858,203,SE,912482,1,10040,1,108,4,231,174.042009
4/01/2017,769,203,PE,912816,1,10040,1,36,8,244,203.99514
4/01/2017,14081,203,MA,912482,1,10040,1,96,8,220,173.849637
4/01/2017,14081,203,MA,912827,1,10040,1,96,4,320,254.655528
4/01/2017,9784,203,PI,912823,1,10040,1,28,5,380,253.502357
4/01/2017,22858,203,SE,912482,1,10040,1,108,2,231,174.042009
4/01/2017,7386,203,PE,7787,1,10041,3,36,4,640,523.117077
4/01/2017,7386,203,PE,97801,1,10040,1,36,8,200,163.91947
4/01/2017,7386,203,PE,912822,1,10040,1,36,4,265,209.708662
4/01/2017,7386,203,PE,13857,1,10040,59,36,4,205,155.141336
4/01/2017,4426,203,CE,97801,1,10040,1,13,1,190,161.719169
4/01/2017,4426,203,CE,912524,1,10040,1,13,1,189,150.952379
4/01/2017,4426,203,CE,912693,1,10040,1,13,2,212,176.215237
4/01/2017,4426,203,CE,912462,1,10040,1,13,5,140,122.305914
4/01/2017,7217,203,PI,912462,1,10040,1,27,3,139.38,123.837146
4/01/2017,7358,203,PE,13867,1,10041,59,43,4,375,282.358478
4/01/2017,7358,203,PE,13866,1,10041,59,43,8,365,276.171428
4/01/2017,3205,203,PE,912462,1,10040,1,123,20,147,123.90214
4/01/2017,3205,203,PE,912523,1,10040,1,123,8,147,123.908156
4/01/2017,22858,203,SE,13056,10006,10011,77,108,1,82,63.348606
4/01/2017,2232,203,PE,12671,2,10043,1,7,2,1400,1129.479123
4/01/2017,13734,203,AL,912818,1,10040,1,91,4,267,206.5695
4/01/2017,4071,203,PB,912462,1,10040,1,109,40,143.8,123.874445
4/01/2017,3001,203,SE,7559,2,10043,1,161,11,1302,1111.000588
4/01/2017,34895,203,SE,912482,1,10040,1,108,12,224,173.953639
4/01/2017,34895,203,SE,912524,1,10040,1,108,3,198,152.201066
4/01/2017,34895,203,SE,912822,1,10040,1,108,4,267,209.155975
4/01/2017,2686,203,PE,7667,1,10042,2,4,2,232,153.075229
4/01/2017,2686,203,PE,13857,1,10040,59,4,12,205,155.141336
4/01/2017,5806,203,PE,912462,1,10040,1,43,20,145,123.88514
4/01/2017,5806,203,PE,912524,1,10040,1,43,4,192,152.980857
4/01/2017,5806,203,PE,912482,1,10040,1,43,12,219,173.861499
4/01/2017,5806,203,PE,912693,1,10040,1,43,4,219,178.113926
4/01/2017,7217,203,PI,7559,2,10043,1,27,2,1364.3,1125.919493
4/01/2017,4555,203,PE,912823,1,10040,1,36,4,390,305.524909
4/01/2017,4359,203,CE,912462,1,10040,1,17,2,143,122.305914
4/01/2017,22858,203,SE,912482,1,10040,1,108,4,231,174.042009
4/01/2017,8010,203,PB,7620,2,10043,1,11,2,1100,891.183318
4/01/2017,4555,203,PE,97801,1,10040,1,36,4,204,163.95347
4/01/2017,4555,203,PE,912693,1,10040,1,36,2,230,178.207426
4/01/2017,22509,203,MA,912524,1,10040,1,174,20,189,152.539091
4/01/2017,22509,203,MA,912693,1,10040,1,174,10,217,177.671002
4/01/2017,8010,203,PB,97780,1,10041,3,11,8,460,356.978527
4/01/2017,4359,203,CE,912482,1,10040,1,17,3,220,173.588217
4/01/2017,22509,203,MA,912818,1,10040,1,174,8,258,208.813192
4/01/2017,5938,203,PE,912462,1,10040,1,4,31,145,123.88514
4/01/2017,7386,203,PE,912462,1,10040,1,36,20,145,123.88514
4/01/2017,3326,203,PE,912523,1,10040,1,36,4,147,123.908156
4/01/2017,3326,203,PE,912462,1,10040,1,36,2,149,123.91914
4/01/2017,3326,203,PE,912524,1,10040,1,36,4,192,152.980857
4/01/2017,3326,203,PE,12651,1,10040,2,36,4,210,169.665935
4/01/2017,5806,203,PE,912462,1,10040,1,43,30,145,123.88514
4/01/2017,5806,203,PE,97780,1,10041,3,43,4,470,357.062905
4/01/2017,5806,203,PE,97783,1,10042,3,43,2,354,254.711741
4/01/2017,5806,203,PE,13854,1,10041,59,43,4,430,322.444809
5/01/2017,3766,203,PE,7704,2,10043,1,1,6,1320,1078.940507
5/01/2017,7082,203,SE,7704,2,10043,1,161,2,1227.27,1073.675759
5/01/2017,7082,203,SE,12671,2,10043,1,161,2,1284.64,1121.513229
5/01/2017,7217,203,PI,97780,1,10041,3,27,3,401.21,356.474779
5/01/2017,5542,203,PB,913619,1,10040,3,109,8,295,226.585942
5/01/2017,192,203,SE,7559,2,10043,1,161,2,1379.98,1111.663418
5/01/2017,4396,203,CE,912693,1,10040,1,34,4,219,178.076737
5/01/2017,4396,203,CE,97804,1,10041,3,34,4,400,341.27177
5/01/2017,4396,203,CE,12632,1,10040,1,34,2,520,356.17646
5/01/2017,7603,203,CE,912223,1,10041,1,34,4,640,550.365982
5/01/2017,32645,203,MA,912462,1,10040,1,96,4,147,123.901716
5/01/2017,32645,203,MA,912524,1,10040,1,96,3,192,152.564591
5/01/2017,32645,203,MA,97801,1,10040,1,96,2,200,163.944668
5/01/2017,32645,203,MA,13759,2,10043,42,96,2,560,482.331263
5/01/2017,32645,203,MA,97780,1,10041,3,96,1,467,357.024136
5/01/2017,3209,203,AL,4916,2,10043,1,91,2,1290,976.002773
5/01/2017,3209,203,AL,912460,1,10042,1,91,3,321,221.498577
5/01/2017,32645,203,MA,97781,1,10042,3,96,4,270,185.503795
5/01/2017,7217,203,PI,97780,1,10041,3,27,4,401.21,356.474779
5/01/2017,4753,203,CE,97780,1,10041,3,80,1,467,357.023861
5/01/2017,16103,203,PI,912810,1,10040,1,28,6,203,180.794099
5/01/2017,16103,203,PI,97801,1,10040,1,28,12,190,163.880907
5/01/2017,16103,203,PI,912693,1,10040,1,28,6,206,177.750465
5/01/2017,16103,203,PI,912840,1,10040,1,28,4,202.84,166.156939
5/01/2017,16103,203,PI,912822,1,10040,1,28,4,246,206.658572
5/01/2017,16103,203,PI,912818,1,10040,1,28,4,236,206.106839
5/01/2017,16103,203,PI,97803,1,10041,1,28,2,445,375.429205
5/01/2017,8551,203,SE,12272,1,10042,3,161,4,438,340.410441
5/01/2017,1310,203,PI,912462,1,10040,1,28,20,139,123.250116
5/01/2017,1310,203,PI,912524,1,10040,1,28,15,183,152.654979
5/01/2017,4245,203,CE,97783,1,10042,3,13,6,326,252.835823
5/01/2017,4245,203,CE,912462,1,10040,1,13,1,139,124.701391
5/01/2017,1310,203,PI,912482,1,10040,1,28,10,205,174.67885
5/01/2017,1310,203,PI,912810,1,10040,1,28,6,203,180.794099
5/01/2017,1310,203,PI,97801,1,10040,1,28,12,190,163.880907
5/01/2017,1310,203,PI,912693,1,10040,1,28,6,206,177.750465
5/01/2017,1310,203,PI,912840,1,10040,1,28,4,202.84,166.156939
5/01/2017,1310,203,PI,912822,1,10040,1,28,4,246,206.658572
5/01/2017,1310,203,PI,912818,1,10040,1,28,4,236,206.106839
5/01/2017,1310,203,PI,912835,1,10040,1,28,6,237,212.194626
5/01/2017,1310,203,PI,912088,1,10041,1,28,2,400,341.270249
5/01/2017,8551,203,SE,12272,1,10042,3,161,4,438,340.410441
5/01/2017,172,203,PE,13857,1,10040,59,25,4,153.4,159.048687
5/01/2017,172,203,PE,13860,1,10040,59,25,4,130.32,133.867607
5/01/2017,16103,203,PI,912462,1,10040,1,28,20,139,123.250116
5/01/2017,16103,203,PI,912524,1,10040,1,28,20,183,152.654979
5/01/2017,16103,203,PI,912482,1,10040,1,28,12,205,174.67885
5/01/2017,7928,203,RN,7790,2,10043,1,42,4,705,534.196979
5/01/2017,7928,203,RN,912460,1,10042,1,42,4,311,221.414706
5/01/2017,3185,203,PE,912524,1,10040,1,36,6,189,152.955357
5/01/2017,3185,203,PE,97783,1,10042,3,36,4,343,254.618241
5/01/2017,4753,203,CE,97780,1,10041,3,80,1,467,357.023861
5/01/2017,7217,203,PI,97762,1,10040,1,27,4,304.71,270.708532
5/01/2017,3209,203,AL,4916,2,10043,1,91,3,1290,976.203587
5/01/2017,3209,203,AL,97798,1,10041,1,91,2,615,436.031685
5/01/2017,3209,203,AL,13054,10006,10011,77,91,10,100,66.272878
5/01/2017,3209,203,AL,13125,10006,10013,84,91,10,40,19.8587
5/01/2017,172,203,PE,13857,1,10040,59,25,6,153.4,159.048687
5/01/2017,1414,203,PB,13869,1,10040,59,25,20,195,171.949954
5/01/2017,6173,203,PE,13855,1,10041,59,36,2,390,290.273744
5/01/2017,6173,203,PE,13865,1,10042,59,36,2,320,241.399396
5/01/2017,22858,203,SE,912462,1,10040,1,108,2,151,123.6135
5/01/2017,4245,203,CE,97780,1,10041,3,13,4,450,356.879361
5/01/2017,3185,203,PE,912462,1,10040,1,36,30,139.21,123.251243
5/01/2017,3185,203,PE,912524,1,10040,1,36,14,189,152.955357
5/01/2017,3185,203,PE,97762,1,10040,1,36,4,345,270.052334
5/01/2017,3185,203,PE,97783,1,10042,3,36,2,343.56,254.623001
5/01/2017,31733,203,CE,912524,1,10040,1,13,1,198,152.635379
5/01/2017,4555,203,PE,7730,1,10040,2,36,2,270,193.345914
5/01/2017,4489,203,MA,912482,1,10040,1,95,60,217,173.824137
5/01/2017,4489,203,MA,912835,1,10040,1,95,8,252,213.372201
